record_id,award_tier_normalized,archetype,extract_quality,coder_id,extract_chars,problem_decomposition,assumptions_symbols,method_rationale,data_cleaning,baseline_or_control,solution_trace,validation_error,sensitivity_uncertainty,result_interpretation,reproducibility,limitations,abstract_structure,figure_role,citation_hygiene,innovation_type
2023-C23102980125,first,evaluation-decision,ok,heuristic-v1,35481,3,3,2,2,3,3,2,0,2,2,2,3,3,2,algorithm
2023-C23106130016,first,evaluation-decision,ok,heuristic-v1,46419,3,3,3,2,2,3,2,0,2,2,2,3,3,2,algorithm
2023-C23106570312,first,evaluation-decision,ok,heuristic-v1,32372,3,3,2,2,2,3,2,0,2,2,2,3,3,2,algorithm
2023-C23107120024,first,evaluation-decision,ok,heuristic-v1,31330,3,3,3,2,2,3,2,0,2,2,2,3,3,2,algorithm
2023-D23100060041,first,policy-evaluation,ok,heuristic-v1,32592,3,3,2,2,3,3,3,0,2,2,2,3,1,2,algorithm
2023-D23103560099,first,policy-evaluation,ok,heuristic-v1,39475,3,3,2,2,2,3,3,3,2,2,0,3,3,2,algorithm
2023-D23105330094,first,policy-evaluation,ok,heuristic-v1,28830,3,3,2,1,2,3,2,0,2,2,2,3,3,2,algorithm
2023-D23106350004,first,policy-evaluation,ok,heuristic-v1,35566,3,3,1,2,0,3,2,0,2,2,2,3,3,2,algorithm
2023-E23102550019,first,prediction-diagnosis,garbled-extract,heuristic-v1,15482,0,0,0,0,0,1,3,0,1,2,0,0,0,0,unknown
2023-E23103530067,first,prediction-diagnosis,ok,heuristic-v1,40926,3,3,3,2,2,3,3,3,2,2,2,3,3,2,algorithm
2023-E23103570015,first,prediction-diagnosis,ok,heuristic-v1,41366,3,1,3,2,3,3,3,3,2,2,2,3,3,2,unknown
2023-E23106730076,first,prediction-diagnosis,ok,heuristic-v1,31291,3,3,3,2,2,3,3,3,2,2,2,3,3,2,unknown
2023-F23102520378,first,prediction-diagnosis,ok,heuristic-v1,34440,3,3,2,2,3,3,3,2,1,2,2,3,3,2,algorithm
2023-F23105550004,first,prediction-diagnosis,ok,heuristic-v1,41048,3,3,3,2,3,3,3,3,2,2,2,3,3,2,algorithm
2023-F23107010086,first,prediction-diagnosis,ok,heuristic-v1,38139,3,3,3,2,3,3,3,3,2,2,2,3,3,2,algorithm
2023-F23107300013,first,prediction-diagnosis,ok,heuristic-v1,41098,1,3,2,2,3,3,3,3,1,2,2,3,3,2,algorithm
2024-control-C24102910010,participation,prediction-diagnosis,ok,heuristic-v1,38095,3,3,3,2,3,3,3,3,2,2,2,3,3,2,unknown
2025-control-C25102910007,second,spatial-reconstruction,ok,heuristic-v1,34466,3,3,3,2,3,3,3,3,2,2,2,3,3,2,algorithm
